User,User id,User description,location,time zone,user language,followers count,user follows count,tweet count,profile created,default profile img,user verified,tweet text,tweet id,tweeted at,favorite count,retweeted,retweet count,language,geo,hashtags,urls
t.co/HtwD1FGn9e",727169840776118272,Mon May 02 16:16:14 +0000 2016,25274,False,10361,en,,"[{u'indices': [52, 62], u'text': u'Trump2016'}, {u'indices': [63, 85], u'text': u'MakeAmericaGreatAgain'}]",[]
Donald J. Trump,25073877,#MakeAmericaGreatAgain #Trump2016,"New York, NY",Eastern Time (US & Canada),en,7891832,40,31825,Wed Mar 18 13:46:38 +0000 2009,False,True,"THANK YOU AMERICA!
#MakeAmericaGreatAgain https://t.co/PvhGP2HmbN",727253907567726592,Mon May 02 21:50:17 +0000 2016,11500,False,4238,en,,"[{u'indices': [19, 41], u'text': u'MakeAmericaGreatAgain'}]",[]
Donald J. Trump,25073877,#MakeAmericaGreatAgain #Trump2016,"New York, NY",Eastern Time (US & Canada),en,7891832,40,31825,Wed Mar 18 13:46:38 +0000 2009,False,True,"Thank you Carmel, Indiana! Get out &amp; #VoteTrump tomorrow! #INPrimary #MakeAmericaGreatAgain https://t.co/j07c4oYryG",727252046286450689,Mon May 02 21:42:54 +0000 2016,8857,False,2858,en,,"[{u'indices': [41, 51], u'text': u'VoteTrump'}, {u'indices': [62, 72], u'text': u'INPrimary'}, {u'indices': [73, 95], u'text': u'MakeAmericaGreatAgain'}]",[]
Lou Dobbs,26487169,"Lou Dobbs Tonight, Fox Business Network, 7 & 11 pm    
IG: https://t.co/svYtnb9jBX","New York, NY",Eastern Time (US & Canada),en,164789,2782,21010,Wed Mar 25 12:39:59 +0000 2009,False,True,Indiana Could Assure @realDonaldTrump Victory and Disappoint Mightily the GOP Establishment: #MakeAmericaGreatAgain  https://t.co/wCtcilxXj3,727110015623041026,Mon May 02 12:18:31 +0000 2016,1588,False,865,en,,"[{u'indices': [93, 115], u'text': u'MakeAmericaGreatAgain'}]","[{u'url': u'https://t.co/wCtcilxXj3', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/pasusupa55/status/726970086758727680', u'display_url': u'twitter.com/pasusupa55/sta\u2026'}]"
Ted Cruz,23022687,"Father of two, @heidiscruz's husband, US Senator, fighter for liberty, candidate for President with @CarlyFiorina for VP to bring back Jobs, Freedom & Security","Houston, Texas",Central Time (US & Canada),en,1087694,13786,16567,Fri Mar 06 03:20:20 +0000 2009,False,True,"Donald and Hillary... two sides of the same coin.

#ChooseCruz: https://t.co/XKeU2HUmCY
https://t.co/9MMlLltQgn",727113928971423744,Mon May 02 12:34:04 +0000 2016,657,False,581,en,,"[{u'indices': [51, 62], u'text': u'ChooseCruz'}]","[{u'url': u'https://t.co/XKeU2HUmCY', u'indices': [64, 87], u'expanded_url': u'http://tedcruz.org/volunteer', u'display_url': u'tedcruz.org/volunteer'}, {u'url': u'https://t.co/9MMlLltQgn', u'indices': [88, 111], u'expanded_url': u'https://amp.twimg.com/v/af7b17fd-4e4b-4ceb-a4f2-62e0e24f60e8', u'display_url': u'amp.twimg.com/v/af7b17fd-4e4\u2026'}]"
Amy Chozick,119491006,Political reporter for The New York Times. Hillary Clinton chronicler. Former Tokyo correspondent. Native Texan. Email me at amy.chozick@nytimes.com,"New York, NY",Eastern Time (US & Canada),en,28662,1704,8262,Wed Mar 03 20:30:26 +0000 2010,False,True,"Clinton campaign raised $2.4 million off of Trump's ""woman's card"" comments, 40% were new donors, best fundraising stretch so far, per aide.",727219594067369984,Mon May 02 19:33:56 +0000 2016,708,False,573,en,,[],[]
Bill Kristol,2800581040,Editor @WeeklyStandard,,Eastern Time (US & Canada),en,43124,1235,6900,Thu Oct 02 18:47:57 +0000 2014,False,True,"""Tomorrow [Indiana's] voters will decide if the Constitution will continue to matter."" @RandyEBarnett explains.
https://t.co/ZZKZ455JFD",727200439373053952,Mon May 02 18:17:50 +0000 2016,681,False,672,en,,[],"[{u'url': u'https://t.co/ZZKZ455JFD', u'indices': [112, 135], u'expanded_url': u'http://usat.ly/26L5elG', u'display_url': u'usat.ly/26L5elG'}]"
Good Morning America,22650211,"On your TV and online every morning and in your Twitter feed all day and night. Tweets by @JeffDLowe, @THETonyMorrison, @brett_levy and @sswinkgma.","Times Square, USA",Eastern Time (US & Canada),en,2994033,2076,121403,Tue Mar 03 17:40:29 +0000 2009,False,True,"WATCH: Protester fakes out Ted Cruz with handshake, tells him he looks like a fish monster: https://t.co/wK1GjQOo3q https://t.co/qi4u6gBjdW",727456210677469184,Tue May 03 11:14:10 +0000 2016,963,False,923,en,,[],"[{u'url': u'https://t.co/wK1GjQOo3q', u'indices': [92, 115], u'expanded_url': u'http://abcn.ws/1rQz3Bs', u'display_url': u'abcn.ws/1rQz3Bs'}, {u'url': u'https://t.co/qi4u6gBjdW', u'indices': [116, 139], u'expanded_url': u'http://snpy.tv/1TI8sze', u'display_url': u'snpy.tv/1TI8sze'}]"
Cheryl Campbell,207271383,"Trump2016,TrumpTrain,All Trump",,,en,4186,4567,78801,Sun Oct 24 23:11:48 +0000 2010,False,False,"RT @HoustonWelder: Trump Fan: I AM 19 YEARS OLD AND JUST CAST MY FIRST VOTE EVER FOR DONALD J. TRUMP. INDIANA WILL HELP MAGA AGAIN
https://…",727591228213170180,Tue May 03 20:10:41 +0000 2016,0,False,4,en,,[],"[{u'url': u'https://t.co/y2bwEudKRn', u'indices': [139, 140], u'expanded_url': u'http://bit.ly/1WGm6Fm', u'display_url': u'bit.ly/1WGm6Fm'}]"
inglamwetrust,136655165,"If at first you don't succeed, zhuzh it up with lots of glitter!",left of centerstage,Eastern Time (US & Canada),en,1803,1415,172670,Sat Apr 24 14:47:32 +0000 2010,False,False,"RT @HillaryClinton: We don’t have time to waste on Trump's fake solutions that won’t do a thing to help your families.
https://t.co/b4aq8SV…",727591227978330112,Tue May 03 20:10:41 +0000 2016,0,False,411,en,,[],"[{u'url': u'https://t.co/b4aq8SVVAB', u'indices': [119, 140], u'expanded_url': u'https://amp.twimg.com/v/277567ac-4e5d-4e81-9ffc-d38651e82382', u'display_url': u'amp.twimg.com/v/277567ac-4e5\u2026'}]"
Invierta-SA,3397505584,,,,en,6,94,682,Fri Jul 31 17:51:39 +0000 2015,False,False,"RT @TIME: ""How Clinton and Trump should choose their vice presidents"" https://t.co/DCyz1dDugS",727591227764441088,Tue May 03 20:10:41 +0000 2016,0,False,17,en,,[],"[{u'url': u'https://t.co/DCyz1dDugS', u'indices': [70, 93], u'expanded_url': u'http://ti.me/26P3mZ0', u'display_url': u'ti.me/26P3mZ0'}]"
Monique,160426592,All lies and jests...,,Arizona,en,167,165,3710,Mon Jun 28 04:10:29 +0000 2010,False,False,Encountered my first Trump supporter on campus at an Educational policy seminar. What a time. 🙃,727591227151908865,Tue May 03 20:10:41 +0000 2016,0,False,0,en,,[],[]
Rohn W. Bishop,309355065,"Treasurer Republican Party of Fond du Lac County, Cognitive Writer for Scene Newspapers. Former Waupun City Council member.","Waupun,WI",Central Time (US & Canada),en,468,429,15173,Wed Jun 01 23:33:56 +0000 2011,False,False,RT @Dailytakes: Whaddya know? Turns out viewers are turned off by non stop Trump infomercial. https://t.co/MtnrG2kmne,727591226409664517,Tue May 03 20:10:41 +0000 2016,0,False,9,en,,[],"[{u'url': u'https://t.co/MtnrG2kmne', u'indices': [94, 117], u'expanded_url': u'http://www.redstate.com/leon_h_wolf/2016/05/03/cnn-destroys-fox-news-april-prime-time-ratings/', u'display_url': u'redstate.com/leon_h_wolf/20\u2026'}]"
Pam Emerson,530813732,,,,en,109,111,3921,Tue Mar 20 01:48:20 +0000 2012,True,False,RT @WesleyRickard: Laura Ingraham Conservative Radio Host Supports Donald J Trump for President #AZ #UT #NY #CT #DE #PA #MD #RI #IN #NE htt…,727591225847623681,Tue May 03 20:10:40 +0000 2016,0,False,1226,en,,"[{u'indices': [96, 99], u'text': u'AZ'}, {u'indices': [100, 103], u'text': u'UT'}, {u'indices': [104, 107], u'text': u'NY'}, {u'indices': [108, 111], u'text': u'CT'}, {u'indices': [112, 115], u'text': u'DE'}, {u'indices': [116, 119], u'text': u'PA'}, {u'indices': [120, 123], u'text': u'MD'}, {u'indices': [124, 127], u'text': u'RI'}, {u'indices': [128, 131], u'text': u'IN'}, {u'indices': [132, 135], u'text': u'NE'}]",[]
Pancho,80963391,A world within walking distance.                   I sometimes wished I didn’t know the things I know. I wish I didn't know now what I didn't know then.,"Hyattsville, MD",Eastern Time (US & Canada),en,311,313,41550,Thu Oct 08 22:44:24 +0000 2009,False,False,RT @MotherJones: Irony alert: Latinos may determine Donald Trump's fate. https://t.co/TbKSP7OYPF https://t.co/BKqFImhR3h,727591225277190144,Tue May 03 20:10:40 +0000 2016,0,False,15,en,,[],"[{u'url': u'https://t.co/TbKSP7OYPF', u'indices': [73, 96], u'expanded_url': u'http://mojo.ly/24lP2II', u'display_url': u'mojo.ly/24lP2II'}]"
Ron Powell,16190509,"Ph.D & retired head of The Powell Group: media/witness/speechwriting T&D firm serving CEOs & Execs, most not under indictment, in jail or in witness protection.","B-ton, IN/Playa del Carmen, MX",Quito,en,290,690,14091,Mon Sep 08 19:43:21 +0000 2008,False,False,"@FoxNews @foxnewspolitics @tedcruz Cruz cares about truth/morals. That's why he defended Obama from Trump's ""birther"" nonsense! Oh, wait....",727591224572575744,Tue May 03 20:10:40 +0000 2016,0,False,0,en,,[],[]
CA Conservative,1046740962,Conservative 'real liberal' Republican #EagleScout #Victory2016 #NeverTrump #CruzCrew,"California, USA",Pacific Time (US & Canada),en,626,535,47019,Sun Dec 30 03:57:43 +0000 2012,False,False,@VictorB123 So? Trump won self-identified libertarians.,727591223473496064,Tue May 03 20:10:40 +0000 2016,0,False,0,en,,[],[]
Alex,333343647,New World Disorder,,Kuwait,ru,436,1989,71433,Mon Jul 11 11:42:13 +0000 2011,False,False,"RT @NateSilver538: In exit polls, low education levels are a much stronger predictor of Trump support than low incomes. GOP primary voters…",727591222223712257,Tue May 03 20:10:40 +0000 2016,0,False,1342,en,,[],[]
KSinCFL,322897229,"Independent supporting #Trump2016  #NeverHillary #NeverCruz #NeverBernie I call it as I see it so deal w/it, or not. IDGAF.",Reality,Eastern Time (US & Canada),en,332,252,30116,Thu Jun 23 22:46:27 +0000 2011,False,False,@TheLastRefuge2 the guy who questioned Hillary was just on Fox Cavuto said WV pro Trump bcuz of coal/clean coal! Yes!!!!,727596916826112000,Tue May 03 20:33:17 +0000 2016,0,False,0,en,,[],[]
Denise Wendel,29066807,"Mom, Grandmother, singer, guitar player, wife, 3 Marine family, Conservative leaning Independent","Memphis, TN",Central Time (US & Canada),en,2058,2712,35512,Sun Apr 05 21:21:03 +0000 2009,False,False,RT @21damone: Some people don't understand the importance of Donald Trump self-funding his campaign. RETWEET if you appreciate it. https://…,727596914687000576,Tue May 03 20:33:17 +0000 2016,0,False,2961,en,,[],[]
livenewsytweets,2431107457,"Follow for unfiltered live breaking news as determined by a computer algorithm: Raw News, all topics, no spin, posts tweets that captures the pulse of world.",,Arizona,en,2731,1575,520373,Sun Apr 06 22:56:06 +0000 2014,False,False,RT @jcdwms: @LSDsr @AMillennialMind Do you know that he had affairs with 5+ women? Trump is buds w the CEO of #NatlEnquirer https://t.co/FF…,727596914083020800,Tue May 03 20:33:17 +0000 2016,0,False,1,en,,"[{u'indices': [110, 123], u'text': u'NatlEnquirer'}]",[]
America1st VoteTrump,3387878543,#ExDem #MakeAmericaGreatAgain #Trump2016 #1A #2A #NoAmnesty MBA Student Concentration: Info Security - Masters Computer Info Systems Mgmnt - Project Mgmnt,"NYC & Los Angeles, CA",,en,6657,995,9492,Wed Jul 22 19:49:32 +0000 2015,False,False,RT @Campaign_Trump: VOTER FRAUD INDIANA: Looking at these two pics it's impossible 2 believe any stupid rigged fake Indiana poll. #Trump ht…,727596913747320832,Tue May 03 20:33:16 +0000 2016,0,False,291,en,,"[{u'indices': [130, 136], u'text': u'Trump'}]",[]
angie,117598897,"I AM A STRONG TRUMP SUPPORTER , I WANT MY COUNTRY BACK  FROM ALL THE HATERS , I LOVE MY BIBLE AND MY GUNS ,I AM NO DOORMAT",,,en,157,355,496,Fri Feb 26 01:25:47 +0000 2010,False,False,RT @Trumptbird: I am a WOMAN &amp; I AM A TRUMP SUPPORTER‼️🇺🇸‼️@realDonaldTrump cares about #women #hotchicks4trump #INPrimary #Trump https://t…,727596912539541504,Tue May 03 20:33:16 +0000 2016,0,False,28,en,,"[{u'indices': [92, 98], u'text': u'women'}, {u'indices': [99, 115], u'text': u'hotchicks4trump'}, {u'indices': [116, 126], u'text': u'INPrimary'}, {u'indices': [127, 133], u'text': u'Trump'}]",[]
Thelma,4720933403,retired educator; supporter of the classroom teacher; Christian,"Montgomery, AL",,en,397,234,15097,Wed Jan 06 03:31:17 +0000 2016,False,False,RT @EricTrump: Friends who voted today?! How are we looking in Indiana! #Trump2016 #MakeAmericaGreatAgain 🚂💨🇺🇸🇺🇸 https://t.co/Rbx01s01FX,727596910643654657,Tue May 03 20:33:16 +0000 2016,0,False,198,en,,"[{u'indices': [72, 82], u'text': u'Trump2016'}, {u'indices': [83, 105], u'text': u'MakeAmericaGreatAgain'}]",[]
lady,2211415983,@VintagePapi ❤️ // vous et moi #anyonebuttrump2016,"Long Beach, CA",,en,640,328,13392,Sat Dec 07 02:16:11 +0000 2013,False,False,RT @IamAkademiks: TI says if Donald Trump wins... Chains and Shackles are next. 👀 https://t.co/QFSDk238to,727596910400266240,Tue May 03 20:33:16 +0000 2016,0,False,1976,en,,[],[]
Jack,425291600,,,Central Time (US & Canada),en,75,462,16916,Wed Nov 30 20:29:56 +0000 2011,False,False,RT @NateSilver538: Trump voters so far have a median household income of $72k. National household median income is about $56k. https://t.co…,727596910001803264,Tue May 03 20:33:16 +0000 2016,0,False,295,en,,[],"[{u'url': u'https://t.co/ehaqkSA6eR', u'indices': [139, 140], u'expanded_url': u'http://fivethirtyeight.com/features/the-mythology-of-trumps-working-class-support/', u'display_url': u'fivethirtyeight.com/features/the-m\u2026'}]"
Sharon Newsome,4867111167,,,,en,1564,2462,6178,Sun Jan 31 19:32:07 +0000 2016,True,False,@CNNPolitics @Marshall_Cohen you are a mighty fine man Ben.   TRUMP will definitely put you in his cabinet when he is elected.,727596909683220480,Tue May 03 20:33:16 +0000 2016,0,False,0,en,,[],[]
Clippers aggbot,118053676,All the latest breaking NBA news about Los Angeles Clippers brought to you by http://t.co/hHj80Q6D9R,,,en,14637,16106,60746,Sat Feb 27 13:03:40 +0000 2010,False,False,Last chance? A desperate Ted Cruz looks to derail Donald Trump  - https://t.co/6aUOT9MM7s  https://t.co/lhqqGsmUTm,727596909326700544,Tue May 03 20:33:15 +0000 2016,0,False,0,en,,[],"[{u'url': u'https://t.co/6aUOT9MM7s', u'indices': [66, 89], u'expanded_url': u'http://latimes.com', u'display_url': u'latimes.com'}, {u'url': u'https://t.co/lhqqGsmUTm', u'indices': [91, 114], u'expanded_url': u'http://aggbot.com/Los-Angeles-Clippers-News/article/27893454', u'display_url': u'aggbot.com/Los-Angeles-Cl\u2026'}]"
Maureen,705083633812566016,We L❤️V Trump & only V❤️TE Trump..Trump is SPEAKING for the people..He is the most 'DOWN TO EARTH & the MOST CLASSY OUTSTANDING candidate we EVER had,,,en,898,832,15759,Wed Mar 02 17:33:32 +0000 2016,False,False,"RT @mikepeterman: The more violent Soros' thugs get, Trump will pull ahead even further!
Trump Pulls Ahead of Hillary in New Poll
https://t…",727598577711722497,Tue May 03 20:39:53 +0000 2016,0,False,9,en,,[],"[{u'url': u'https://t.co/G6WRH8KFFH', u'indices': [139, 140], u'expanded_url': u'http://www.infowars.com/trump-pulls-ahead-of-hillary-in-new-national-poll/', u'display_url': u'infowars.com/trump-pulls-ah\u2026'}]"
GRL,3257267108,Hardcore Trumpkinette #MakeAmericaGreatAgain #Trump2016 #AlwaysTrump,,,en,462,386,2696,Sat Jun 27 02:42:28 +0000 2015,False,False,"RT @Debramax: So it's ok 4 Cruz's father 2 attack Trump while talking to Evangicals,But when trump responds,Cruz had 2 go on CNN blasting T…",727598576847626240,Tue May 03 20:39:53 +0000 2016,0,False,43,en,,"[{u'indices': [139, 140], u'text': u'cryingted'}]",[]
#YoQuieroBernie,3397902772,Colombian immigrant at age 1 (1980). US Citizen 96'. Class of '02 from RIT #FeelTheBern #BernieOrBust #FactsAreNotAttacks,"Albany, NY & Queens, NY",,en,797,1821,2702,Fri Jul 31 22:42:49 +0000 2015,False,False,"Polls close at 6pm in Indiana.
#ImWithHer #Hillarystrong #Hillary #Trump #WeCanTrustTheClintons #PowerCouple https://t.co/LFmUZR9MNv",727598576633819136,Tue May 03 20:39:53 +0000 2016,0,False,0,en,,"[{u'indices': [31, 41], u'text': u'ImWithHer'}, {u'indices': [42, 56], u'text': u'Hillarystrong'}, {u'indices': [57, 65], u'text': u'Hillary'}, {u'indices': [66, 72], u'text': u'Trump'}, {u'indices': [73, 95], u'text': u'WeCanTrustTheClintons'}, {u'indices': [96, 108], u'text': u'PowerCouple'}]",[]
Jim,2305879171,"Satirist by choice, Indian by birth, Satire is the last beacon of Free Speech.                                    RTs not Endorsements.",India ,Chennai,en,1201,2254,103481,Thu Jan 23 03:26:28 +0000 2014,False,False,RT @Always_Trump: Rare Young athletic #Trump #RareTrump https://t.co/TlG4GHhGA5,727598576633716736,Tue May 03 20:39:53 +0000 2016,0,False,38,en,,"[{u'indices': [38, 44], u'text': u'Trump'}, {u'indices': [45, 55], u'text': u'RareTrump'}]",[]
Tyler Rhodes,1207161445,(ง'̀-'́)ง Raise your dongers (ง'̀-'́)ง,"Las Vegas, NV",Pacific Time (US & Canada),en,37,50,140,Fri Feb 22 07:33:12 +0000 2013,False,False,RT @mattduss: Trump: Ted Cruz’s dad broke up the Beatles.,727598576558186496,Tue May 03 20:39:53 +0000 2016,0,False,115,en,,[],[]
toni,942773174,"Registered nurse since 1988.. ICU/ Trauma. N.P. Surgery. and recently: LNC.Conservative,Catholic,mommy, and wife. Love God and USA, ❤️music❤️Anime","New York, USA",,en,1486,1037,61026,Mon Nov 12 03:49:56 +0000 2012,False,False,"RT @greeneyes0084: Which math? Real math, or how many delegates do we need to BUY math? 
#MakeAmericaGreatAgain 
#AmericaFirst
#Trump https…",727598576331833345,Tue May 03 20:39:53 +0000 2016,0,False,17,en,,"[{u'indices': [89, 111], u'text': u'MakeAmericaGreatAgain'}, {u'indices': [113, 126], u'text': u'AmericaFirst'}, {u'indices': [127, 133], u'text': u'Trump'}]",[]
Team USA,612214031,,,Pacific Time (US & Canada),en,534,215,30462,Tue Jun 19 02:55:31 +0000 2012,False,False,RT @Ricky_Vaughn99: Wow! I'm hearing that many Bernie voters in Indiana have Trump as their second choice! Great,727598575945842689,Tue May 03 20:39:53 +0000 2016,0,False,154,en,,[],[]
William Speakes,885948055,"Christian, Saved again in 2003 Billy Graham conference.",Texas,Central Time (US & Canada),en,124,358,17814,Wed Oct 17 03:15:51 +0000 2012,False,False,I believe FBI Mr. Comey will remain as the FBI chief when Trump gets in office in the coming months!  Honest people keep their jobs!,727598575828369408,Tue May 03 20:39:53 +0000 2016,0,False,0,en,,[],[]
Erin Lawlor,17395881,"Accounting Software Revolutionist           .

Question everything and everyone. 

Neither Cruz nor Rubio is eligible to be POTUS. Don't be a sheep.",Utah Valley,Pacific Time (US & Canada),en,747,554,14219,Fri Nov 14 21:09:27 +0000 2008,False,False,RT @Jacobnbc: First time voters and proud Trump volunteers about to knock doors in the rain. #PrimaryDay https://t.co/aWPtHxS9cT,727598575513837568,Tue May 03 20:39:53 +0000 2016,0,False,387,en,,"[{u'indices': [93, 104], u'text': u'PrimaryDay'}]",[]
Broken Sandal,4483364362,I have traveled far & long & cannot walk a mile further. I follow no one & will not be followed by anyone.,,Pacific Time (US & Canada),en,0,0,100,Mon Dec 14 17:25:10 +0000 2015,False,False,@MSNBC Why dont u air THIS video of black female employee of #Trump?Oh I forgot @MSNBC has liberal agenda #MediaLies https://t.co/y19kF8DRj8,727598575438331904,Tue May 03 20:39:53 +0000 2016,1,False,0,en,,"[{u'indices': [61, 67], u'text': u'Trump'}, {u'indices': [106, 116], u'text': u'MediaLies'}]","[{u'url': u'https://t.co/y19kF8DRj8', u'indices': [117, 140], u'expanded_url': u'http://www.wor710.com/onair/mark-simone-52176/watch-this-powerful-video-by-a-14670039/', u'display_url': u'wor710.com/onair/mark-sim\u2026'}]"
Travis Glover,25399317,Movies are my jam!   Reality TV is my jam!   80's pop culture is my jam!  NY Jets fan.  Wanna-be ladies man.  Dream job is programmer for @tcm.  #StopTrump,"Hope Mills, N.C.",Eastern Time (US & Canada),en,871,1006,100759,Thu Mar 19 22:30:28 +0000 2009,False,False,@GOPBlackChick  @AJDelgado13 Thoughts of Trump saying Cruz's father was somehow involved in Kennedy's assassination?,727598575300038656,Tue May 03 20:39:53 +0000 2016,0,False,0,en,,[],[]
ElizabethW,54072491,,Nebraska,Central Time (US & Canada),en,118,216,3087,Mon Jul 06 01:45:37 +0000 2009,False,False,RT @KNP2BP: Another example of Cruz lies &amp;arrogance! He's so much smarter than we peasants! A YUGE slap in voters' faces! #Trump https://t.…,727598575199256576,Tue May 03 20:39:53 +0000 2016,0,False,140,en,,"[{u'indices': [126, 132], u'text': u'Trump'}]",[]
Minnesota Observer,3041992281,https://t.co/ZnuiZhWNaP,"Minneapolis, MN",London,en,5232,4481,2769,Tue Feb 17 07:12:32 +0000 2015,False,False,"Ted Cruz Rails at 'Amoral,' 'Narcissist' Donald Trump Ahead of Critic... https://t.co/DFlgpgztkH",727598575149039617,Tue May 03 20:39:53 +0000 2016,0,False,0,en,,[],"[{u'url': u'https://t.co/DFlgpgztkH', u'indices': [73, 96], u'expanded_url': u'http://nyc.epeak.in/848_1433447', u'display_url': u'nyc.epeak.in/848_1433447'}]"
michele,2321078092,,,,en,546,1181,2134,Mon Feb 03 02:22:53 +0000 2014,False,False,"RT @mitchellvii: The Cruz core is small.  Cruz was running at 6% when Trump was at 27%.  Cruz only surged when Carson faltered. Cruz ""base""…",727598575136309248,Tue May 03 20:39:53 +0000 2016,0,False,100,en,,[],[]
Mark Maine,2712850585,"DGA Movie Director/Writer/Producer - Helmer at Angelic Pictures, born in La Jolla, CA, grew up in the Pacific Beach, graduated from Clairemont High School 1976.","San Diego, CA",Arizona,en,2339,3560,10581,Wed Aug 06 19:50:12 +0000 2014,False,False,"@BigDuhie1955 @realDonaldTrump @tedcruz TED RELIGIOUS WACK JOB. TRUMP BUILD WALL-DEPORT, NO CRURINA, VOTE OUT RINOS! https://t.co/oRWi78GiSG",727598575018876928,Tue May 03 20:39:53 +0000 2016,0,False,0,en,,[],"[{u'url': u'https://t.co/oRWi78GiSG', u'indices': [117, 140], u'expanded_url': u'http://www.foxnews.com/politics/2016/04/28/ice-under-fire-for-releasing-thousands-illegal-immigrants-with-rap-sheets.html?intcmp=hpbt2', u'display_url': u'foxnews.com/politics/2016/\u2026'}]"
Michael Lee,345858289,"When old Israel was getting her ass kicked, she turned back to God, re-established the Covenant and God openned a can of WHOOP ASS.  America, go and do likewise",Washington State outback,,en,348,148,14552,Sun Jul 31 08:49:31 +0000 2011,False,False,RT @Always_Trump: 24% of the Republican electorate in CA is Hispanic &amp; #Trump is winning 53% of their vote! (@surveyusa ) #Polls https://t.…,727598574901538818,Tue May 03 20:39:53 +0000 2016,0,False,95,en,,"[{u'indices': [75, 81], u'text': u'Trump'}, {u'indices': [126, 132], u'text': u'Polls'}]",[]
Catherine,2561551780,"~Conservative, patriotic, gun carrying lover of God the Constitution and America~ #IamChristian #CruzCrew #2A #NeverTrump",Knoxville Tennessee,,en,2012,2006,9642,Sat May 24 07:02:09 +0000 2014,False,False,"RT @toddstarnes: ""It's disgraceful."" Donald J. Trump on Rafael Cruz asking people of Indiana to 'vote according to the word of God'",727598573978853377,Tue May 03 20:39:52 +0000 2016,0,False,50,en,,[],[]
Kaffe_Takk,29073978,"Happily married to @MurbsSox !
I love you forever, Quinn",,Eastern Time (US & Canada),en,1260,1999,81085,Sun Apr 05 21:44:41 +0000 2009,False,False,RT @NotCloudyAllDay: LOVELIBUZZ raced today @parxracing for Donald White in 1st after unrecorded (sale?) from Landicini. This 5M broke down…,727598573458722816,Tue May 03 20:39:52 +0000 2016,0,False,4,en,,[],[]
Campaign2016,4867070105,,"Connecticut, USA",Eastern Time (US & Canada),en,67,16,34471,Sun Jan 31 18:43:23 +0000 2016,False,False,"Donald Trump, Hillary Clinton lead rivals handily in California, poll finds https://t.co/TVxNzWPjmN",727598573366464514,Tue May 03 20:39:52 +0000 2016,0,False,0,en,,[],"[{u'url': u'https://t.co/TVxNzWPjmN', u'indices': [76, 99], u'expanded_url': u'http://ift.tt/24oczJ8', u'display_url': u'ift.tt/24oczJ8'}]"
TexMex Herald,2810751061,,,Pacific Time (US & Canada),ru,1861,5000,82076,Mon Sep 15 05:28:25 +0000 2014,False,False,"#texmex Ted Cruz Rails at 'Amoral,' 'Narcissist' Donald Trump Ahead o... https://t.co/Ww0RbmzVw5",727598572905103361,Tue May 03 20:39:52 +0000 2016,0,False,0,en,,"[{u'indices': [0, 7], u'text': u'texmex'}]","[{u'url': u'https://t.co/Ww0RbmzVw5', u'indices': [73, 96], u'expanded_url': u'http://nyc.epeak.in/848_1433447', u'display_url': u'nyc.epeak.in/848_1433447'}]"
GiGi V,3302298378,Christian Wife+Mom+Gigi to my beautiful grandchildren❤️ Big Donald Trump supporter -Do not judge others and love thy neighbor. support live music-,,,en,214,308,1551,Fri Jul 31 11:05:35 +0000 2015,False,False,RT @WesleyRickard: Clint Eastwood Endorses Donald J Trump for President #AZ #UT #CA #NY #CT #DE #PA #MD #RI #IN #NE #WV #ccot #pjnet https:…,727598572724625410,Tue May 03 20:39:52 +0000 2016,0,False,1903,en,,"[{u'indices': [72, 75], u'text': u'AZ'}, {u'indices': [76, 79], u'text': u'UT'}, {u'indices': [80, 83], u'text': u'CA'}, {u'indices': [84, 87], u'text': u'NY'}, {u'indices': [88, 91], u'text': u'CT'}, {u'indices': [92, 95], u'text': u'DE'}, {u'indices': [96, 99], u'text': u'PA'}, {u'indices': [100, 103], u'text': u'MD'}, {u'indices': [104, 107], u'text': u'RI'}, {u'indices': [108, 111], u'text': u'IN'}, {u'indices': [112, 115], u'text': u'NE'}, {u'indices': [116, 119], u'text': u'WV'}, {u'indices': [120, 125], u'text': u'ccot'}, {u'indices': [126, 132], u'text': u'pjnet'}]",[]
Stacy M,19559114,,,Central Time (US & Canada),en,72,257,232,Mon Jan 26 21:27:50 +0000 2009,False,False,Trump is Hillary Clinton and Bill Clinton rolled up in one.  Corrupt and Immoral.,727598572414324736,Tue May 03 20:39:52 +0000 2016,0,False,0,en,,[],[]
patricia thomas,1938992054,,,,en,322,51,19722,Sat Oct 05 22:16:22 +0000 2013,False,False,"RT @Dlw20161950: Trump=Hillary Clinton 
Both Are SERIAL LIARS!
#LyinTrump
#SleazyDonald #NeverTrump
#PhonyDonald
#Trump2016
#CruzCrew https…",727598571629981696,Tue May 03 20:39:52 +0000 2016,0,False,14,en,,"[{u'indices': [63, 73], u'text': u'LyinTrump'}, {u'indices': [74, 87], u'text': u'SleazyDonald'}, {u'indices': [88, 99], u'text': u'NeverTrump'}, {u'indices': [100, 112], u'text': u'PhonyDonald'}, {u'indices': [113, 123], u'text': u'Trump2016'}, {u'indices': [124, 133], u'text': u'CruzCrew'}]",[]
